Name|Type|ActionType|Range(in feet)|Duration|CastingTime|RechargeValues(d6)|AttackAbilityMod|Description
Acupressure|Normal|Spell|120|Instant|Action|5,6|--|Roll 1d6, you may give the associated buff to an ally in range or yourself. 1 - +2 to the next damage roll; 2 - +1 to AC until the end of their next turn; 3 - +10 Movement until the end of their next turn; 4 - Attempt to Hide them; 5 - Gain advantage on their next saving throw or ability check; 6 - Remove 1 Status effect)
After You|Normal|Spell|120|Instant|Bonus Action|4,5,6|--|Choose a target (can be an ally) in range to take their turn at the beginning of the initiative order next round.
Assist|Normal|Spell|30|1 Rounds|Bonus Action|4,5,6|--|Aid an ally on their next turn, granting them advantage on any rolls for the action phase of their turn.
Attract|Normal|Spell|30|1 Minutes|Action|5,6|--|Target must make a CHA saving throw or be Charmed, target can make the save again at the end of each turn.
Barrage|Normal|Ranged Attack|30/90|Instant|Action|--|STR,DEX|Roll 1d4 + 1, make that amount of attacks, dealing 1d4 + mod damage.
Baton Pass|Normal|Spell|60|Instant|Bonus Action|--|--|The trainer must immediately retract this pokemon and send out a replacement, any bonus this pokemon has are transferred to the next pokemon sent out.
Belly Drum|Normal|Spell|--|Instant|Bonus Action|5,6|--|Make your next attack action against yourself, but deal double this damage on the following X attack actions, where X is your prof bonus.
Bestow|Normal|Spell|30|Instant|Reaction|4,5,6|--|Give an ally advantage on a saving throw from an incoming spell.
Bide|Normal|Spell|60|2 Rounds|Action|--|--|Sacrifice your Action for the duration, afterwards (at the start of your next turn) deal the amount of damage you took to X creatures, where X is your prof bonus.
Bind|Normal|Spell|Touch|Instant|Action|--|--|Choose an adjacent target to make a STR saving throw or be grappled and take 1d4 + STR/CON damage. As long as the target is still grappled you can use your Bonus Action in following turns to reapply the damage.
Block|Normal|Spell|Touch|1 Round|Bonus Action|4,5,6|--|For the duration, if you are grappling an opponent they cannot flee or be switched out.
Body Slam|Normal|Melee Attack|Touch|1 Minutes|Action|--|STR,CON|1d10 + mod damage and target must make a DEX saving throw or be Paralyzed, repeating the save at the end of their turn.
